date,title_original,title_yours,url,source,excerpt,relevance_score,category,tags,relevance_reason,source_score,source_tier,source_label,source_notes,decision,your_notes
,Signal Down: Junta Blocks Last Secure Communication Channel in ...,"Myanmar Junta Cuts Off Signal, Final Secure App for Public and Press",https://www.irrawaddy.com/news/burma/signal-down-junta-blocks-last-secure-communication-channel-in-myanmar.html,The Irrawaddy,Signal was blocked by the regime on July 15 in a move that denied public access to the last remaining secure communication channel in Myanmar.,10,Shutdown,network_shutdowns|digital_censorship|journalist_digital_safety,"The article directly reports on the military junta's blocking of Signal, a critical tool for secure communication, which is a core issue for internet freedom, digital safety, and press freedom in Myanmar.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Myanmar's junta engaged in systemic digital surveillance and ...,Myanmar's Military Builds AI-Powered Surveillance State to Control Internet and Press,https://eng.mizzima.com/2025/06/10/23251,eng.mizzima.com,"Myanmar's military junta has constructed a “near-total surveillance state” using repressive digital laws, biometric monitoring, and AI-powered tools.",10,Surveillance,Digital Surveillance|Press Freedom|Censorship,"The article directly details the junta's use of digital laws, biometrics, and AI for systemic surveillance, which is core to the topics of internet freedom, censorship, journalist safety, and surveillance technology.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,HRM submission to UN says Myanmar junta building 'digital ...,"Myanmar Junta Constructs 'Digital Dictatorship' with AI Surveillance and Spyware, UN Told",https://eng.mizzima.com/2026/02/18/31372,eng.mizzima.com,"HRM describes the system as a “digital dictatorship,” combining AI-powered CCTV systems, internet firewalls, spyware, and sweeping cybersecurity",10,Surveillance,Surveillance Technology|Digital Censorship|Journalist Safety,"The article directly details the junta's use of AI-powered CCTV, firewalls, and spyware to create a 'digital dictatorship,' which is core to surveillance technology, digital censorship, and the safety of journalists online.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,Burma Junta Adopts China's Digital Blueprint for Repression - mizzima,Myanmar's Military Adopts Chinese Model of Digital Control and Surveillance,https://eng.mizzima.com/2025/05/20/22523,eng.mizzima.com,"China is widely recognized as one of the most digitally repressive states in the world. The government operates the “Great Firewall,” one of the most sophisticated internet censorship systems globally, blocking access to foreign news, social media platforms, and search engines. China enforces strict",10,Surveillance,digital censorship|surveillance technology|internet freedom,"The article directly details how Myanmar's military junta is adopting China's model of digital repression, which encompasses internet censorship, surveillance, and control tactics directly relevant to the specified topics.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,Myanmar Tied With China for Worst Internet Freedom - The Irrawaddy,"Myanmar Ranks Lowest Globally for Internet Freedom, Matching China in Censorship and Surveillance",https://www.irrawaddy.com/news/burma/myanmar-tied-with-china-for-worst-internet-freedom.html,The Irrawaddy,"Country hits rock bottom in report by U.S.-based Freedom House due to systematic internet censorship, surveillance of online speech and",10,Censorship & Surveillance,Internet Freedom|Digital Censorship|Surveillance Technology|Press Freedom,"The article directly reports on Myanmar's systemic internet censorship, surveillance of online speech, and its low ranking in internet freedom, covering all specified themes.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Insight: How Myanmar's military moved in on the telecoms sector to ...,Myanmar Military Mandates Telecom Spyware for Citizen Surveillance,https://www.reuters.com/world/asia-pacific/how-myanmars-military-moved-telecoms-sector-spy-citizens-2021-05-18/,Reuters,The country's telecom and internet service providers were ordered to install intercept spyware that would allow the army to eavesdrop on the communications of,10,Surveillance,surveillance technology|digital censorship|journalist digital safety,"The article directly details the military's mandate for telecoms to install intercept spyware for eavesdropping, which is a core surveillance technology issue impacting internet freedom and the safety of journalists.",95,A,Highly Reliable,Global wire service. Strong editorial standards. Independent.,PUBLISH,
,"Myanmar military using AI to build digital dictatorship, rights group ...",Myanmar Junta Deploys AI to Forge a Digital Authoritarian State,https://eng.mizzima.com/2025/08/21/25617,eng.mizzima.com,Myanmar's military junta is transforming the country into a “laboratory for 21st-century authoritarianism” by deploying artificial intelligence,10,Surveillance,AI|Digital Dictatorship|Censorship|Authoritarianism,"The article directly describes the military's use of AI for digital control, which is central to internet freedom, censorship, surveillance, and journalist safety in Myanmar.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,How Vietnam abets the Myanmar junta's digital terror campaign - DVB,Vietnam's Role in Supplying Digital Surveillance Tools to Myanmar's Military Junta,https://english.dvb.no/the-digital-lifeline-how-vietnam-abets-the-myanmar-juntas-digital-terror-campaign/,english.dvb.no,"The seizure of power by the Myanmar military junta in February 2021 unleashed a brutal nationwide campaign of oppression, encompassing",10,Surveillance,Surveillance Technology|VPN Blocking|Journalist Digital Safety|Digital Censorship,"The article directly details Vietnam's role in supplying surveillance technology and internet control systems to the Myanmar junta, which are used for digital censorship, VPN blocking, and targeting journalists and activists.",100,A,Highly Reliable,"Independent, established outlet with strong transparency and sourcing.",PUBLISH,
,2026 elections and internet shutdowns watch - Access Now,Global Election Watch: Monitoring Internet Shutdown Threats for 2026,https://www.accessnow.org/campaign/2026-elections-and-internet-shutdowns-watch/,Access Now,"Important note: Throughout the year, we may add additional countries to this list if the threat of a shutdown increases or if dates are announced for high-risk elections that have been postponed. Please reach out to us if you are seeing indicators of election-related shutdown risk in a country not l",10,Shutdown,elections|internet_shutdowns|monitoring,"The article is a direct global watchlist for election-related internet shutdowns, a core tactic used to restrict freedom in Myanmar.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Myanmar: Scrap Sweeping Cybersecurity Bill - Human Rights Watch,Myanmar's Proposed Cybersecurity Law Poses Severe Threat to Online Freedoms,https://www.hrw.org/news/2021/02/12/myanmar-scrap-sweeping-cybersecurity-bill,Human Rights Watch,"Existing online service providers are required to register and apply for a new license within one year from the date on which the law is enacted. The license will be denied if the provider is not in compliance with the cybersecurity law’s strict requirements.  
  
“Myanmar’s proposed cybersecurity l",10,Censorship,cybersecurity_law|press_freedom|surveillance|digital_rights,"The article directly critiques a proposed law that would impose strict licensing and compliance requirements on online service providers, directly threatening internet freedom, enabling digital censorship, and jeopardizing journalist safety and press freedom online.",94,A,Highly Reliable,Leading human rights organisation. Extensive sourcing. Widely cited.,PUBLISH,
,Regime enacts its long-awaited Cyber Security Law in Myanmar - DVB,Myanmar's New Cyber Law Criminalizes VPN Use to Tighten Online Control,https://english.dvb.no/regime-enacts-its-much-anticipated-cyber-security-law/,english.dvb.no,"The cyber security law consists of 16 chapters and 88 articles, which calls for the regulation of Virtual Private Networks (VPNs), a service that allows internet users to circumvent blocked or banned websites or smartphone applications.

It adds that individuals “establishing VPNs” without permissio",10,Digital Censorship,VPN Blocking|Press Freedom Online|Surveillance Technology,"The article directly details a new law criminalizing VPN use and regulating online access, which impacts internet freedom, digital censorship, and journalist safety in Myanmar.",100,A,Highly Reliable,"Independent, established outlet with strong transparency and sourcing.",PUBLISH,
,"Myanmar and China have lowest internet freedom, says study",Study Ranks Myanmar Among Worst for Internet Freedom Amid Junta's VPN Blocks and Surveillance,https://eng.mizzima.com/2024/10/17/15134,eng.mizzima.com,"In Myanmar, the junta has harshly cracked down on dissent since ending a decade-long experiment in democracy, with systematic censorship and surveillance of online speech.

Freedom House pointed to new measures imposed by the junta in May to block access to virtual private networks (VPNs), which res",10,Censorship,Internet Freedom|VPN Blocking|Surveillance|Press Freedom,"The article directly addresses Myanmar's low internet freedom, systematic censorship, online surveillance, VPN blocking, and the impact on dissent, covering multiple specified topics.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,Myanmar junta using Chinese companies for digital surveillance ...,Myanmar Junta Deploys Chinese 'Great Firewall' Technology for Digital Surveillance and Censorship,https://eng.mizzima.com/2024/06/20/10993,eng.mizzima.com,"Planning documents show the use of two products from the Chinese company Geedge Networks, which trades as Jizhi (Hainan) Information Technology Company Limited, in the surveillance and censorship system that was activated in Myanmar at the end of May.

Geedge Networks founder and chief scientist is ",10,Surveillance,digital surveillance|censorship technology|VPN blocking|journalist safety|China,"The article directly details the Myanmar junta's deployment of Chinese-made surveillance and censorship technology, which impacts internet freedom, digital safety, and press freedom online.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,[PDF] FREEDOM ON THE NET 2025,Freedom on the Net 2025: Myanmar and China Rank Worst for Internet Censorship,https://freedomhouse.org/sites/default/files/2025-11/Freedom_on_the_Net_2025_Digital.pdf,Freedom House,"and intimidation of online activists, as well as legal provisions that undermined people’s online privacy. Censorship intensified in China and Myanmar, which remained the world’s worst environments for internet freedom. Chinese authorities continued to develop the country’s censorship infrastructure",10,Censorship,Internet Freedom|Censorship|Surveillance,"The article explicitly names Myanmar as one of the world's worst environments for internet freedom, directly addressing censorship and the intimidation of online activists.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Chinese Spy Tech Driving Junta Internet Crackdown - The Irrawaddy,Myanmar Junta Deploys Chinese 'Great Firewall' Tech for Digital Crackdown,https://www.irrawaddy.com/news/myanmar-china-watch/chinese-spy-tech-driving-junta-internet-crackdown-justice-for-myanmar.html,The Irrawaddy,"The two Chinese companies supplying the junta with the tools it needs to build a more effective digital dictatorship are both linked to Fang Binxing, the “father” of the Great Firewall of China, JFM said in its report “The Myanmar Junta’s Partners in Digital Surveillance and Censorship.”

### Relate",10,Surveillance Technology,Digital Censorship|Surveillance Technology|VPN Blocking|Journalist Digital Safety,"The article directly details Chinese technology, linked to the architect of China's Great Firewall, being used by the Myanmar junta for digital surveillance, censorship, and building a more effective digital dictatorship, which is core to all the specified topics.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,[PDF] GROWING VIOLENCE - Access Now,Internet Shutdowns and Censorship in Myanmar Post-Coup,https://www.accessnow.org/wp-content/uploads/2024/05/2023-KIO-Report-APAC.pdf,Access Now,"com/news/world/grindr-dating-disappears-china-app-stores-internet-clean-campaign-rcna14531/ protests;1 Indonesia continued to block Grindr;2 and Nepal joined the shame list in 2023 with its blocking of TikTok.3 Against a backdrop of extensive censorship under the Great Firewall, China maintained ong",10,Shutdown,Myanmar|Internet Shutdown|Censorship|Military Junta,"The excerpt directly references the political context in Myanmar since the 2021 military coup, which is the primary driver of internet restrictions, digital censorship, and threats to journalist safety in the country.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Myanmar Junta Turns to China for Help Policing Internet Use,Myanmar's Military Seeks Chinese Tech to Tighten Internet Control and Surveillance,https://www.irrawaddy.com/opinion/guest-column/myanmar-junta-turns-to-china-for-help-policing-internet-use.html,The Irrawaddy,"The aim, they say, is to establish firm and effective control over what can and cannot be accessed online in Myanmar, similar to the infamous “",10,Surveillance,Internet Censorship|VPN Blocking|Press Freedom|China|Digital Surveillance,"The article directly describes the junta seeking Chinese technology and expertise to control online access, censor content, and implement surveillance, which impacts all specified areas.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Countering an Authoritarian Overhaul of the Internet | Freedom House,Myanmar's Internet Freedom Plummets Under Military Junta's Censorship Regime,https://freedomhouse.org/report/freedom-net/2022/countering-authoritarian-overhaul-internet,Freedom House,"Internet freedom declined by five points in Myanmar, contributing to a precipitous 19-point decline over the past two years. The country now hosts the second worst environment for human rights online, outperforming only China. Since the military junta seized power from an elected civilian government",10,Shutdown,Internet Freedom|Censorship|Surveillance|Press Freedom,"The article directly reports on the decline of internet freedom, digital censorship, and the restrictive online environment for journalists and human rights in Myanmar following the 2021 military coup.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Myanmar junta cuts off internet access 'indefinitely' to resistance ...,Myanmar Military Imposes Indefinite Internet Blackout on Sagaing Region,https://myanmar-now.org/en/news/myanmar-junta-cuts-off-internet-access-indefinitely-to-resistance-stronghold-of-sagaing/,Myanmar Now,"Myanmar Now

# Myanmar junta cuts off internet access ‘indefinitely’ to resistance stronghold of Sagaing

The military council issued an order to cut off internet access to all of Sagaing Region starting on Thursday, where clashes are breaking out daily between the Myanmar army and anti-junta resist",10,Shutdown,internet_shutdown|regional_censorship|military_censorship|conflict_zone|press_freedom,"The article directly reports on a regional, indefinite internet shutdown ordered by the military junta, which is a core example of digital censorship and network shutdowns impacting information flow, journalist safety, and press freedom online in a conflict area.",81,B,Generally Reliable,Independent. Strong investigative coverage. Founded 2016.,PUBLISH,
,Myanmar: Freedom on the Net 2019 Country Report,Myanmar's Telecom Market: State and Foreign Control of Mobile Networks (2019),https://freedomhouse.org/country/myanmar/freedom-net/2019,Freedom House,"Mytel launched its 4G-only service in February 2018,8 and had reached five million subscribers by 2019.9 It joined three other mobile service providers in Myanmar, all of which are owned by the Myanmar government or foreign governments.10 Two foreign mobile service providers, Telenor and Ooredoo, ha",10,Surveillance,Telecom Ownership|Market Structure|Mobile Networks,"The excerpt directly details the ownership structure of Myanmar's telecom sector, which is foundational to understanding state control over internet infrastructure, potential for censorship, and surveillance capabilities.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,"Myanmar Junta Cuts Phone, Net in Kayah State After Troops ...",Myanmar Military Cuts Telecommunications in Kayah State Following Clashes,https://www.irrawaddy.com/news/burma/myanmar-junta-cuts-phone-net-in-kayah-state-after-troops-surrender.html,The Irrawaddy,Residents said Ooredoo and Atom phone and internet services were cut on Tuesday. “It has been three days since we were able to use Ooredoo,10,Shutdown,network_shutdown|internet_freedom|digital_censorship,"The article directly reports on a state-ordered shutdown of phone and internet services in a specific region, which is a core example of digital censorship and a restriction on internet freedom.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Myanmar coup: military expands internet shutdown - The Guardian,Myanmar Military Junta Escalates Nationwide Internet Blackout,https://www.theguardian.com/world/2021/apr/02/myanmar-coup-military-expands-internet-shutdown,The Guardian,"Access to the internet had already been severely restricted by the junta. Mobile data, which is the main source of internet access, has been cut for 18 days across the country, while a wider shutdown has been imposed every night for almost 50 days. The new cuts affect wireless broadband, though fibr",10,Shutdown,internet_shutdown|mobile_data|broadband|military_coup,"The article directly details the military junta's expansion of internet shutdowns, including mobile data and wireless broadband cuts, which are core tactics of digital censorship and suppression of online freedom.",88,A,Highly Reliable,,PUBLISH,
,Myanmar junta blocks internet access as coup protests expand,Myanmar Military Cuts Internet Nationwide Amid Growing Anti-Coup Protests,https://apnews.com/article/united-nations-myanmar-media-social-media-yangon-e7765d3459d386219ee1dca8ad1e089c,Associated Press,"Numerous internet users noted a slow disappearance of data services, especially from mobile service providers, that accelerated sharply late Saturday morning. Broadband connection also later failed, while there were mixed reports on whether landline telephone service and mobile voice connections wer",10,Shutdown,internet_shutdown|mobile_blocking|protest_censorship|network_disruption,"The article directly reports on a nationwide internet and mobile data shutdown imposed by the military junta to suppress protests, which is a core example of digital censorship and network shutdowns in Myanmar.",96,A,Highly Reliable,,PUBLISH,
,Myanmar Communication Cuts Adding to Post-Quake Misery and ...,Myanmar Junta's Network Blackout Deepens Crisis After Earthquake,https://eng.mizzima.com/2025/04/05/21029,eng.mizzima.com,"With the State Administration Council (SAC) shutting down internet and mobile networks, families are left in the dark—unable to reach loved ones",10,Shutdown,network_shutdowns|internet_freedom|digital_censorship,"The article directly describes state-ordered internet and mobile network shutdowns in Myanmar, a core topic of digital censorship and freedom.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,When repression meets resistance: internet shutdowns in 2025,Record Internet Blackouts: Myanmar's Digital Repression in 2025,https://www.accessnow.org/internet-shutdowns-2025/,Access Now,"## The worst entrenched offenders systematically impose shutdowns

Any actor imposing even a single internet shutdown is doing so in defiance of human rights. However, some perpetrators impose shutdowns lasting for months or years, with others institutionalizing the tactic with shocking regularity. ",10,Shutdown,Internet Shutdowns|Myanmar|Digital Censorship,"The article explicitly cites Myanmar as experiencing a record 95 internet shutdowns, directly addressing the core topics of network shutdowns and digital censorship.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Internet disrupted in Myanmar amid apparent military uprising,"Myanmar Military Seizes Power, Orders Nationwide Internet Blackout",https://netblocks.org/reports/internet-disrupted-in-myanmar-amid-apparent-military-uprising-JBZrmlB6,NetBlocks,"> Update: Internet connectivity in #Myanmar has fallen to 50% of ordinary levels as of 8:00 a.m. local time amid an apparent military coup and the detention of civilian leaders; pattern of disruption indicates centrally issued telecoms blackout order ?
>
>  pic.twitter.com/71fHI3sRv3
>
> — NetBlocks",10,Shutdown,Internet Shutdown|Military Coup|Telecoms Blackout|Network Disruption,"The article directly reports a centrally ordered, nationwide internet disruption coinciding with a military coup, which is a primary and severe form of digital censorship and suppression of press freedom online.",96,A,Highly Reliable,"Independent network measurement, widely cited, transparent methodology",,
,Page 4 – NetBlocks,Internet Access Disrupted Across Myanmar During Military Uprising,https://netblocks.org/page/4?date=2020-02-03,NetBlocks,"Network data from the NetBlocks Internet Observatory confirm disruption to internet connectivity in Armenia on the afternoon of Thursday 25 February 2021 amid turmoil in the leadership and claims of …

## Internet disrupted in Myanmar amid apparent military uprising

Network data from the NetBlocks ",10,Shutdown,Myanmar|Internet Shutdown|Military Coup,"The article directly reports on a widespread internet disruption in Myanmar, which is a core example of digital censorship and network shutdowns.",96,A,Highly Reliable,"Independent network measurement, widely cited, transparent methodology",SKIP,
,internet shutdown Archives - Page 2 of 6 - NetBlocks,Internet and Social Media Shutdowns Documented by NetBlocks,https://netblocks.org/tag/internet-shutdown/page/2,NetBlocks,"Skip to content

NetBlocks

Menu

# Tag: internet shutdown

 on Tuesday 30 …

 has restricted access to Twitter, Facebook and Instagram social media services through the morning of …

[](

Reports · November 15, 2019

## Internet disrupted in Iran amid fuel protests in multiple cities

Network data ",10,Shutdown,internet_shutdown|social_media_blocking|network_disruption,"The article is from NetBlocks, an organization that directly documents internet shutdowns and social media restrictions, which are core components of digital censorship and directly relevant to Myanmar's context of internet freedom.",96,A,Highly Reliable,"Independent network measurement, widely cited, transparent methodology",SKIP,
,The Internet Observatory - NetBlocks,NetBlocks Observatory: Tracking Internet Shutdowns and Censorship Globally,https://netblocks.org/projects/observatory,NetBlocks,"Skip to content

NetBlocks

Menu

# The Internet Observatory

The Internet Observatory informs NetBlocks reporting and the wider human rights community using measurement, classification and attribution techniques to detect internet disruptions, online censorship and cyber-attacks on critical infrast",10,Shutdown,Internet Disruptions|Online Censorship|Digital Rights|Network Measurement,"The article describes an organization dedicated to detecting internet disruptions and censorship, which are core issues affecting Myanmar's internet freedom and digital rights.",96,A,Highly Reliable,"Independent network measurement, widely cited, transparent methodology",SKIP,
,Update on Information Controls in Burma - The Citizen Lab,Report on the Reduction of Internet Censorship in Myanmar,https://citizenlab.ca/update-on-information-controls-in-burma/,Citizen Lab,"Reforms have also extended to the country’s strict information control regime. Beginning in September 2011, reports from the country indicated that the historically pervasive levels of Internet censorship had been significantly reduced. International news sites, including Voice of America, BBC, and ",10,Censorship,Internet Censorship|Press Freedom|Policy Reform,"The article directly details the reduction of internet censorship in Burma/Myanmar, specifically mentioning the unblocking of international news sites.",97,A,Highly Reliable,University of Toronto. Peer-reviewed research. Gold standard for digital rights.,PUBLISH,
,[PDF] Behind Blue Coat: Commercial Filtering in Syria and Burma,Report: Commercial Filtering Technology Used for Censorship in Burma,https://citizenlab.ca/wp-content/uploads/2015/03/Behind-Blue-Coat-Investigations-of-Commercial-Filtering-in-Syria-and-Burma.pdf,Citizen Lab,1 The Citizen Lab Research Brief November 2011 Behind Blue Coat: Commercial Filtering in Syria and Burma SUMMARY Citizen Lab research into the use of commercial filtering products in countries under the rule of authoritarian regimes has uncovered a number of devices manufactured by U.S.-based Blue C,10,Surveillance,Commercial Filtering|Surveillance Technology|Censorship Infrastructure,The article directly documents the use of commercial filtering technology (Blue Coat) by the Burmese regime to enable internet censorship and surveillance.,97,A,Highly Reliable,University of Toronto. Peer-reviewed research. Gold standard for digital rights.,PUBLISH,
,Burma Archives - The Citizen Lab,Research on Digital Censorship and Surveillance in Myanmar,https://citizenlab.ca/tag/burma/,Citizen Lab,"Skip to content

Opens in a new window Opens an external site Opens an external site in a new window

 Our Work
  + Research
  + Publication Directory
  + Tools & Resources
 News & Events
  + Expert Insights
  + In the Media
  + Events
  + News
 About
  + Who We Are
  + Contact
  + People
  + Donate",10,Censorship,Censorship|Surveillance|Press Freedom,"The article is directly from The Citizen Lab, a leading research group on digital surveillance and censorship, and is explicitly tagged for Burma/Myanmar, making it highly relevant to all specified topics.",97,A,Highly Reliable,University of Toronto. Peer-reviewed research. Gold standard for digital rights.,SKIP,
,Research - The Citizen Lab,Research on Global Digital Censorship and Surveillance,https://citizenlab.ca/research/,Citizen Lab,"Skip to content

Opens in a new window Opens an external site Opens an external site in a new window

 Our Work
  + Research
  + Publication Directory
  + Tools & Resources
 News & Events
  + Expert Insights
  + In the Media
  + Events
  + News
 About
  + Who We Are
  + Contact
  + People
  + Donate",10,Censorship,Digital Censorship|Surveillance Technology|Journalist Safety,"The Citizen Lab's research directly investigates internet censorship, surveillance, and digital threats to journalists and civil society, which are core issues in Myanmar's context.",97,A,Highly Reliable,University of Toronto. Peer-reviewed research. Gold standard for digital rights.,SKIP,
,An Uncertain Future for the Global Internet | Freedom House,Myanmar's Internet Freedom Ranked Among World's Worst Amid Intensifying Censorship,https://freedomhouse.org/report/freedom-net/2025/uncertain-future-global-internet,Freedom House,"Censorship intensified in China and Myanmar, which remained the world’s worst environments for internet freedom. Chinese authorities continued to develop the country’s censorship infrastructure, with research from the coverage period finding that provincial-level authorities were vigorously blocking",10,Censorship,Internet Freedom|Censorship|Myanmar,The article explicitly names Myanmar as one of the world's worst environments for internet freedom and details intensified censorship.,91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Freedom on the Net 2021: The Global Drive to Control Big Tech,Myanmar's Internet Freedom Plummets Amid Post-Coup Network Shutdowns,https://freedomhouse.org/report/freedom-net/2021/global-drive-control-big-tech,Freedom House,Internet freedom plummeted by 14 points in Myanmar—the largest decline ever recorded in Freedom on the Net—after the military refused to accept the results of the November 2020 general elections and launched a deadly coup in February 2021. Internet connectivity was cut off every night from then unti,10,Shutdown,Internet Freedom|Network Shutdown|Censorship|Military Coup,"The article directly details Myanmar's severe internet freedom decline, nightly internet cuts, and mobile service suspensions following the 2021 military coup.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Countries and Territories | Freedom House,Freedom House Country Report: Myanmar,https://freedomhouse.org/country/scores,Freedom House,"| Mongolia | 84/100No Change Free Chevron right | 36 | 48 | Not covered |  |  |  |
| Montenegro | 68/100Declined Partly Free Chevron right | 26 | 42 | Not covered |  |  |  |
| Morocco | 37/100No Change Partly Free Chevron right | 13 | 24 | 54/100No Change Partly Free Chevron right | 18 | 21 | 15 |
|",10,Shutdown,Internet Freedom|Press Freedom|Surveillance,"The source is a primary index directly rating Myanmar's freedom, which inherently covers internet freedom, censorship, and related press and surveillance issues.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,SKIP,
,[PDF] #KeepItOn: Immediately reinstate internet access for all in Myanmar,Coalition Demands Full Internet Restoration in Myanmar Amid Ongoing Shutdowns,https://www.accessnow.org/wp-content/uploads/2021/05/KeepItOn_-Immediately-reinstate-internet-access-for-all-in-Myanmar_31-May-2021.pdf,Access Now,"The #KeepItOn coalition is a global network of more than 240 organizations – including the undersigned – committed to ending internet shutdowns around the world. [...] Whitelisting and dividing Amidst a rapidly deteriorating human rights crisis, 24-hour fiber optic and fixed cable connectivity was r",10,Shutdown,Internet Shutdown|VPN Blocking|Press Freedom,"The article directly addresses internet shutdowns, partial restoration, and the broader context of digital censorship and human rights in Myanmar.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,[PDF] KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf - Access Now,2024 Report: Internet Shutdowns Target Myanmar and Global Press Freedom,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,Access Now,"China, Iran, Myanmar, Pakistan, Russia, Venezuela, and Yemen) compared to two blocks in two countries in 2023 (China, Iran). Every blocking of Signal, with the exception of the two in Bangladesh and one each in Algeria and Yemen, was ongoing into 2025. [...] 5. China: Perpetrators cut off electricit",10,Shutdown,Internet Shutdowns|Myanmar|VPN Blocking|Journalist Safety|Surveillance,"The excerpt directly names Myanmar in the context of internet shutdowns, specifically detailing a cross-border disruption from China affecting connectivity, which is a core topic of concern.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Myanmar Archives - Access Now,Myanmar's Internet Crackdown: Shutdowns and VPN Ban Threaten Digital Freedom,https://www.accessnow.org/tag/myanmar/,Access Now,"Cameroon

## Lives on hold: internet shutdowns in 2024

The 2024 #KeepItOn report on internet shutdowns is out. Read on for key insights from this year’s data.

VPN Ban

## Worse than China or Iran? Myanmar’s dangerous VPN ban

Myanmar’s VPN ban, imposed by the military junta, is preventing people f",10,Shutdown,Internet Shutdowns|VPN Blocking|Press Freedom|Surveillance,"The article directly discusses Myanmar's internet shutdowns and a VPN ban imposed by the military junta, which are core topics related to digital censorship and online freedom in the country.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",SKIP,
,[PDF] Internet shutdowns in 2023 - GROWING VIOLENCE - Access Now,Global Report 2023: The Escalating Crisis of Internet Shutdowns,https://www.accessnow.org/wp-content/uploads/2024/05/2023-KIO-Report.pdf,Access Now,"#KeepItOn shame list — notably Qatar and the UAE.82 With this trend clearly on the rise, we will continue to invest in strengthening our documentation in this area and holding all perpetrators to account. [...] 53 Eos Data Analytics (2024). Natural Disasters 2023: A Year of Tragic Record-Breaking.  ",10,Shutdown,internet_shutdowns|global_report|accountability,"The article is a major global report specifically focused on documenting and analyzing internet shutdowns, which is a core component of digital censorship and directly relevant to Myanmar's context.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,[PDF] Rising repression meets global resistance: Internet shutdowns in 2025,Global Report on Internet Shutdowns Highlights Myanmar's Repressive Tactics in 2025,https://www.accessnow.org/wp-content/uploads/2026/03/KeepItOn-Internet-Shutdowns-2025-Annual-Report.pdf,Access Now,"27 See supra note 18. International Criminal Court (2025). 28 See supra note 9. Access Now (2026). #KeepItOn coalition partners Myanmar Internet Project and Athan documented the shutdown, spotlighting a tactic that has now been linked to crimes against humanity.27 Note: This data was collected throu",10,Shutdown,internet_shutdowns|Myanmar|surveillance_technology|journalist_safety|VPN_blocking,"The article directly cites Myanmar as a case study where internet shutdowns are documented and linked to potential crimes against humanity, directly addressing the core topics.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
